"","Name","DistrictNumber","TotalPopulation","ViolentRate","PropertyRate","PovertyRate","MobilityRate","heterogeneity6","GraduationRates","CCMR.Grads","CCMR.College","TSI.Both","TSI.Either","DualCredit","APBI","Associates","OnRamps"
"1","CARROLLTON-FARMERS BRANCH ISD",57903,189903,1.95362895794169,16.940227379241,9.3979557984866,50.0708256320332,81.590864575345,95.2,61,50.5,33.3,52.9,10.9,23.1,2.6,22.8
"2","CEDAR HILL ISD",57904,49374,3.26082553570705,26.3296471827278,10.2118523919472,53.6476688135456,68.2768749540336,92.7,79.9,73.5,67.5,85.8,24.2,16.1,16.4,0
"3","DALLAS ISD",57905,1105370,5.77996507956612,30.5309534364059,17.2572079937035,50.4337009327194,69.7263523010701,88.2,90.5,55.7,33.8,53,25.4,22,0.4,2.2
"4","DESOTO ISD",57906,62160,2.78314028314028,13.3848133848134,8.22393822393822,53.283462033462,55.3885197435802,88.9,66.1,40.3,22.7,49.6,16.7,5.8,6.3,0
"5","DUNCANVILLE ISD",57907,77175,6.36216391318432,36.0609005506965,11.8587625526401,52.9290573372206,68.836003607642,92.9,90.4,54,43.7,71.4,20.5,12.6,5.7,2.5
"6","GARLAND ISD",57909,308193,2.92024802639904,22.3171843617473,10.5949843117787,51.3645670083357,79.3655157633258,96.2,92.2,71.4,58.1,75.5,32.6,22.2,4.8,2.8
"7","GRAND PRAIRIE ISD",57910,124123,3.89130137041483,24.1695737292847,15.0729518300396,52.0258131047429,64.3977307104599,94.9,76.3,74.5,64.4,83,18.2,14.3,4.3,10.6
"8","HIGHLAND PARK ISD",57911,35025,0.913633119200571,17.530335474661,4.55674518201285,50.9122055674518,38.5810245812882,100,91.9,91,80.9,85,10.8,79,0,0
"9","IRVING ISD",57912,194390,2.84479654303205,21.7655229178456,12.3205926230773,50.3508410926488,69.9519344539012,95.9,73.3,63.7,46.9,73.3,13.8,25.4,0,0
"10","LANCASTER ISD",57913,41601,4.47104636907767,32.0665368620947,13.9612028557006,55.8231773274681,52.9802598112046,99.8,82.4,42.3,10.6,36.3,28.4,4.1,11.6,7.9
"11","MESQUITE ISD",57914,182576,4.20646744369468,25.2935763736745,11.8169967575147,52.2900052580843,70.0008375280321,96.4,68.9,54.9,36.5,62.5,23.8,17.1,0.4,3.8
"12","RICHARDSON ISD",57916,231111,3.05048223580877,19.4192401054039,13.3554871901381,52.0394961728347,76.5230138422484,92,79,70.7,59.5,76.1,19.1,25.8,0.2,22.3
"13","SUNNYVALE ISD",57919,8069,8.92303879043252,52.1749907051679,7.89441070764655,48.2091956871979,73.1248366255812,100,84.7,73.6,61.8,72.9,60.4,36.8,0,0.7
"14","COPPELL ISD",57922,57238,3.16223487892659,22.5200041930186,2.8914357594605,48.881861700269,68.90253928513,99.8,83.1,81.7,73.6,84.5,37.9,62.3,0,0
"15","ARLINGTON ISD",220901,359862,4.10712995537178,21.1219856500547,13.3239964208502,51.6898144288644,77.5051339756373,91.5,80.9,73.2,67.1,83.3,13.6,18.4,1.9,2.6
"16","BIRDVILLE ISD",220902,141190,2.67016077625894,21.3966994829662,9.62957716552164,51.4547772505135,64.6608122751334,95.6,58.1,42.6,31,53.4,14.9,23.9,1.9,0.1
"17","EVERMAN ISD",220904,26498,5.28341761642388,30.530606083478,13.4651671824289,51.5321911087629,61.781986936343,93.1,80.4,61.8,57.6,88.2,21.6,5.9,4.5,0
"18","FORT WORTH ISD",220905,519639,4.2433304659581,25.5754475703325,17.0071915310437,51.3914467543814,69.5450666257001,86.9,81.1,75.7,61.9,86.8,10.8,15.8,3.4,20.8
"19","GRAPEVINE-COLLEYVILLE ISD",220906,84361,1.83734189969299,20.6256445513922,5.17774801152191,49.3474472801413,66.071119634617,98.6,72.4,68.6,55.9,76.6,17.4,39.4,6.9,0.2
"20","KELLER ISD",220907,183223,1.98119231755838,12.7167440768899,4.57147847158927,50.7960245165727,65.6388047328581,97.4,73.1,65.1,54.9,74.9,12.1,31.9,0,4.4
"21","MANSFIELD ISD",220908,182304,2.35869756011936,16.3572933122696,7.04702036159382,51.3109970159733,76.6448836679898,97.5,77.6,66.2,59.8,81.2,21.9,24.6,1.8,0
"22","LAKE WORTH ISD",220910,16967,5.89379383509165,48.2112335710497,24.4297754464549,53.250427300053,66.5639543983132,89.4,85.8,42.6,27.9,38.7,7.8,8.3,0,10.3
"23","CROWLEY ISD",220912,116077,3.55798306296682,21.571887626317,10.1716963739587,52.3910852279091,77.0579481303626,93,59.7,44,29.8,59.4,14.3,9.7,3.2,12.6
"24","KENNEDALE ISD",220914,21023,4.51886029586643,20.69162346002,7.31104028920706,50.135565808876,72.6916801879012,97.4,52.3,46.7,40,56.9,9.2,13.3,0,21.5
"25","HURST-EULESS-BEDFORD ISD",220916,163621,3.1780761638176,22.6254576124092,8.18415729032337,51.4408297223462,79.0750013938323,98.4,73,52.6,43.2,60.9,17,29.1,0,0
"26","CASTLEBERRY ISD",220917,20669,2.37070008224878,13.4984759785186,15.288596448788,50.2781943974068,42.3895609005451,96.7,93.6,90.2,83.8,93.6,29.9,4.3,0,24.8
"27","EAGLE MOUNTAIN-SAGINAW ISD",220918,126084,4.12423463722598,24.0395292027537,5.55899241775324,51.044541734082,71.7434601269111,98.3,68.1,57.6,47.7,81.7,12.5,21.8,0,5.7
"28","CARROLL ISD",220919,32779,0.366088044174624,8.96915708227829,2.58397144513255,51.2736813203575,54.9222609571865,100,91,89,82.4,90.6,34.3,59.2,0,0
"29","WHITE SETTLEMENT ISD",220920,35717,4.78763613965339,30.3496934232998,8.07178654422264,51.6924713721757,66.7480303717451,95.1,64.3,56.2,43.5,72.1,18.6,8,0,15.4
"30","ALDINE ISD",101902,306151,6.61764946056031,25.1934502908695,25.1359623192477,50.3653425923809,56.102764781545,89.2,64,47.6,33.2,56,20.6,12.7,3,5.8
"31","ALIEF ISD",101903,274939,4.7974277930741,17.9385245454446,23.1294941787087,51.882781271482,74.5517894151421,92.1,76.7,57,48.1,71.5,19.6,13,3,1
"32","CHANNELVIEW ISD",101905,42692,0.445048252600019,1.66307504918954,19.1511290171461,47.2828632999157,51.047187320925,93.9,90.4,68.2,58,78.2,13.1,11.3,2.4,4
"33","CROSBY ISD",101906,29788,7.75480059084195,29.0721095743252,10.0946689942259,51.8833087149188,61.3025574024366,97.7,77.1,52.4,36,67.3,27.6,6.1,8.1,0.2
"34","CYPRESS-FAIRBANKS ISD",101907,622067,1.16868440216247,4.70688848628845,9.93140610255809,51.0073673736109,79.5002797861466,96.4,66.3,56.5,44.1,76,30.7,21.8,5.6,0.1
"35","DEER PARK ISD",101908,50130,6.62278076999801,30.1416317574307,9.61899062437662,51.4242968282466,53.8703148044735,97.7,75,63.6,55,92.5,25.6,18.3,4.8,5.6
"36","GALENA PARK ISD",101910,89966,3.21232465598115,13.5273325478514,17.4010181624169,48.9573839005847,44.1707357659386,92.7,83.5,75.1,57.6,79.1,25.7,12.2,2.5,0
"37","GOOSE CREEK CONSOLIDATED ISD",101911,114102,3.61956845629349,21.9189847680146,15.9269776165186,49.4653906154143,66.4796177958245,97.9,89.8,76.6,52.3,75.7,36.7,8.7,5.4,7.9
"38","HOUSTON ISD",101912,1480398,9.14618906537296,34.5609761699219,19.2273969567643,51.0282370011308,74.6699640098548,88.6,76.2,55.9,38.5,57.8,14.6,26.4,2.8,2.1
"39","HUMBLE ISD",101913,220391,8.70271472065556,36.7573993493382,8.12102127582342,50.5946250073733,73.4918546110051,96.5,60.6,52.7,36.6,57.2,31.2,22.3,1.3,20.2
"40","KATY ISD",101914,401559,4.13139787677527,17.0510435577337,8.44508528012073,51.3097701707595,79.9857409330505,98.3,78.5,67,56.7,76.7,14.2,39.9,0,0
"41","KLEIN ISD",101915,286843,0.212659887115948,0.801832361256855,10.3669951855196,51.5581694515815,76.9976661753596,96,78.2,66,57.1,73,23.3,21,0.5,10.3
"42","LA PORTE ISD",101916,43770,5.07196710075394,24.2175005711675,10.4752113319625,50.4569339730409,61.3427169606901,96.9,86.6,57,44.8,78.7,17.9,11,6.3,0
"43","PASADENA ISD",101917,253676,6.59108469070783,25.09106103849,18.7912928302244,50.831769658935,51.9754392893833,92.8,88.9,84.7,76.5,88.4,20.2,15.9,8.4,0
"44","SPRING ISD",101919,204521,0.17602104429374,0.655189442648921,14.9270735034544,51.1541602084872,74.6256975310093,87.9,61.4,31.8,14.7,32.6,15.1,11.8,2.2,0
"45","SPRING BRANCH ISD",101920,185584,8.03948616260022,30.9132252780412,15.241076816967,50.4865721182861,67.9101090559986,91.7,72.9,67.6,60.9,74.8,17.4,32.9,0,20.1
"46","TOMBALL ISD",101921,96474,0.414619482969505,3.01635673860315,6.87335447892696,50.0051827435371,63.477255271003,98.7,91.4,83.7,77.8,90.2,37.7,34.3,4.4,0
"47","SHELDON ISD",101924,47020,2.8285835814547,10.5912377711612,17.5818800510421,50.5338153977031,60.4204557298587,93.9,79,67.8,51.5,79.9,35.6,12.9,4,7.1
